Dataset,ResultType,ResultTag,Project,Total,TP,FN,FP,TN,P,R,F1,Ac,TPR,FPR
FlakeFlagger,mainPrediction,Balance+Duplicate+FailuresWithMutants,tootallnate-java-websocket,3259,2130,13,436,680,83.00857365549493,99.39337377508166,90.46506689318326,86.22276772015955,99.39337377508166,39.06810035842294
FlakeFlagger,mainPrediction,Balance+Duplicate+FailuresWithMutants,elasticjob-elastic-job-lite,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
FlakeFlagger,mainPrediction,Balance+Duplicate+FailuresWithMutants,square-okhttp,60435,26056,430,897,33052,96.67198456572552,98.3765007928717,97.51679485020304,97.80425250268884,98.3765007928717,2.642198592005655
FlakeFlagger,mainPrediction,Balance+Duplicate+FailuresWithMutants,apache-commons-exec,92,33,0,53,6,38.372093023255815,100.0,55.46218487394958,42.391304347826086,100.0,89.83050847457628
FlakeFlagger,mainPrediction,Balance+Duplicate+FailuresWithMutants,qos-ch-logback,3052,406,32,457,2157,47.04519119351101,92.69406392694064,62.41352805534205,83.97771952817824,92.69406392694064,17.482785003825555
FlakeFlagger,mainPrediction,Balance+Duplicate+FailuresWithMutants,kevinsawicki.http-request,3888,3498,3,124,263,96.57647708448371,99.91431019708654,98.21704338059806,96.7335390946502,99.91431019708654,32.041343669250644
FlakeFlagger,mainPrediction,Balance+Duplicate+FailuresWithMutants,jknack-handlebars.java,558,411,0,16,131,96.25292740046838,100.0,98.090692124105,97.1326164874552,100.0,10.884353741496598
FlakeFlagger,mainPrediction,Balance+Duplicate+FailuresWithMutants,wro4j-wro4j,11373,10447,386,39,501,99.62807552927713,96.43681344041354,98.00647309911346,96.26307922272048,96.43681344041354,7.222222222222221
FlakeFlagger,mainPrediction,Balance+Duplicate+FailuresWithMutants,apache-ambari,15108,4055,8,486,10559,89.2975115613301,99.8031011567807,94.25848442584844,96.73020916070956,99.8031011567807,4.4001810774105925
FlakeFlagger,mainPrediction,Balance+Duplicate+FailuresWithMutants,undertow-io-undertow,2398,57,35,170,2136,25.11013215859031,61.95652173913043,35.73667711598746,91.4512093411176,61.95652173913043,7.372072853425846
FlakeFlagger,mainPrediction,Balance+Duplicate+FailuresWithMutants,apache-httpcore,8375,321,33,113,7908,73.963133640553,90.67796610169492,81.47208121827411,98.25671641791045,90.67796610169492,1.408801895025558
FlakeFlagger,mainPrediction,Balance+Duplicate+FailuresWithMutants,spring-projects-spring-boot,2164,13,1,850,1300,1.5063731170336037,92.85714285714286,2.9646522234891677,60.67467652495379,92.85714285714286,39.53488372093023
FlakeFlagger,mainPrediction,Balance+Duplicate+FailuresWithMutants,hector-client-hector,10132,6529,0,404,3199,94.17279676907543,100.0,96.99896003565593,96.01263324121595,100.0,11.212878157091314
FlakeFlagger,mainPrediction,Balance+Duplicate+FailuresWithMutants,orbit-orbit,3755,2943,0,69,743,97.70916334661355,100.0,98.84130982367758,98.1624500665779,100.0,8.497536945812808
FlakeFlagger,mainPrediction,Balance+Duplicate+FailuresWithMutants,wildfly-wildfly,3895,48,0,116,3731,29.268292682926827,100.0,45.283018867924525,97.02182284980745,100.0,3.0153366259422927
FlakeFlagger,mainPrediction,Balance+Duplicate+FailuresWithMutants,doanduyhai-Achilles,275,120,1,0,154,100.0,99.17355371900827,99.5850622406639,99.63636363636364,99.17355371900827,0.0
FlakeFlagger,mainPrediction,Balance+Duplicate+FailuresWithMutants,Alluxio-alluxio,49653,16014,844,1706,31089,90.372460496614,94.99347490805552,92.62536873156343,94.86435864902423,94.99347490805552,5.202012501905778
FlakeFlagger,mainPrediction,Balance+Duplicate+FailuresWithMutants,zxing-zxing,398,322,0,0,76,100.0,100.0,100.0,100.0,100.0,0.0
FlakeFlagger,mainPrediction,Balance+Duplicate+FailuresWithMutants,joel-costigliola-assertj-core,992,974,0,1,17,99.8974358974359,100.0,99.94869163673678,99.8991935483871,100.0,5.555555555555555
FlakeFlagger,mainPrediction,Balance+Duplicate+FailuresWithMutants,activiti-activiti,46300,1339,24,7118,37819,15.83303772023176,98.23917828319883,27.270875763747455,84.57451403887688,98.23917828319883,15.839953712975943
FlakeFlagger,mainPrediction,Balance+Duplicate+FailuresWithMutants,ninjaframework-ninja,596,476,0,8,112,98.34710743801654,100.0,99.16666666666667,98.65771812080537,100.0,6.666666666666667
FlakeFlagger,mainPrediction,Balance+Duplicate+FailuresWithMutants,apache-hbase,3104,2377,142,24,561,99.00041649312786,94.36284239777689,96.6260162601626,94.6520618556701,94.36284239777689,4.102564102564102
FlakeFlagger,mainPrediction,NotBalance+Duplicate+FailuresWithMutants,tootallnate-java-websocket,3259,2130,13,436,680,83.00857365549493,99.39337377508166,90.46506689318326,86.22276772015955,99.39337377508166,39.06810035842294
FlakeFlagger,mainPrediction,NotBalance+Duplicate+FailuresWithMutants,elasticjob-elastic-job-lite,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
FlakeFlagger,mainPrediction,NotBalance+Duplicate+FailuresWithMutants,square-okhttp,60435,26056,430,897,33052,96.67198456572552,98.3765007928717,97.51679485020304,97.80425250268884,98.3765007928717,2.642198592005655
FlakeFlagger,mainPrediction,NotBalance+Duplicate+FailuresWithMutants,apache-commons-exec,92,0,33,0,59,0.0,0.0,0.0,64.13043478260869,0.0,0.0
FlakeFlagger,mainPrediction,NotBalance+Duplicate+FailuresWithMutants,qos-ch-logback,3052,172,266,104,2510,62.31884057971014,39.26940639269406,48.179271708683466,87.87680209698559,39.26940639269406,3.978576893649579
FlakeFlagger,mainPrediction,NotBalance+Duplicate+FailuresWithMutants,kevinsawicki.http-request,3888,3498,3,124,263,96.57647708448371,99.91431019708654,98.21704338059806,96.7335390946502,99.91431019708654,32.041343669250644
FlakeFlagger,mainPrediction,NotBalance+Duplicate+FailuresWithMutants,jknack-handlebars.java,558,411,0,16,131,96.25292740046838,100.0,98.090692124105,97.1326164874552,100.0,10.884353741496598
FlakeFlagger,mainPrediction,NotBalance+Duplicate+FailuresWithMutants,wro4j-wro4j,11373,10833,0,65,475,99.40356028629105,100.0,99.70088813216144,99.42847093994548,100.0,12.037037037037036
FlakeFlagger,mainPrediction,NotBalance+Duplicate+FailuresWithMutants,apache-ambari,15108,4055,8,481,10564,89.39594356261023,99.8031011567807,94.3132922432841,96.76330420969023,99.8031011567807,4.354911724762336
FlakeFlagger,mainPrediction,NotBalance+Duplicate+FailuresWithMutants,undertow-io-undertow,2398,3,89,0,2306,100.0,3.260869565217391,6.315789473684211,96.2885738115096,3.260869565217391,0.0
FlakeFlagger,mainPrediction,NotBalance+Duplicate+FailuresWithMutants,apache-httpcore,8375,315,39,108,7913,74.46808510638297,88.98305084745762,81.08108108108108,98.24477611940299,88.98305084745762,1.346465527989029
FlakeFlagger,mainPrediction,NotBalance+Duplicate+FailuresWithMutants,spring-projects-spring-boot,2164,6,8,0,2150,100.0,42.857142857142854,60.0,99.63031423290202,42.857142857142854,0.0
FlakeFlagger,mainPrediction,NotBalance+Duplicate+FailuresWithMutants,hector-client-hector,10132,6529,0,404,3199,94.17279676907543,100.0,96.99896003565593,96.01263324121595,100.0,11.212878157091314
FlakeFlagger,mainPrediction,NotBalance+Duplicate+FailuresWithMutants,orbit-orbit,3755,2943,0,69,743,97.70916334661355,100.0,98.84130982367758,98.1624500665779,100.0,8.497536945812808
FlakeFlagger,mainPrediction,NotBalance+Duplicate+FailuresWithMutants,wildfly-wildfly,3895,0,48,0,3847,0.0,0.0,0.0,98.76765083440307,0.0,0.0
FlakeFlagger,mainPrediction,NotBalance+Duplicate+FailuresWithMutants,doanduyhai-Achilles,275,120,1,0,154,100.0,99.17355371900827,99.5850622406639,99.63636363636364,99.17355371900827,0.0
FlakeFlagger,mainPrediction,NotBalance+Duplicate+FailuresWithMutants,Alluxio-alluxio,49653,16014,844,1706,31089,90.372460496614,94.99347490805552,92.62536873156343,94.86435864902423,94.99347490805552,5.202012501905778
FlakeFlagger,mainPrediction,NotBalance+Duplicate+FailuresWithMutants,zxing-zxing,398,322,0,0,76,100.0,100.0,100.0,100.0,100.0,0.0
FlakeFlagger,mainPrediction,NotBalance+Duplicate+FailuresWithMutants,joel-costigliola-assertj-core,992,974,0,2,16,99.79508196721312,100.0,99.8974358974359,99.79838709677419,100.0,11.11111111111111
FlakeFlagger,mainPrediction,NotBalance+Duplicate+FailuresWithMutants,activiti-activiti,46300,947,416,300,44637,75.94226142742582,69.47909024211299,72.5670498084291,98.4535637149028,69.47909024211299,0.6676013084985647
FlakeFlagger,mainPrediction,NotBalance+Duplicate+FailuresWithMutants,ninjaframework-ninja,596,476,0,8,112,98.34710743801654,100.0,99.16666666666667,98.65771812080537,100.0,6.666666666666667
FlakeFlagger,mainPrediction,NotBalance+Duplicate+FailuresWithMutants,apache-hbase,3104,2392,127,48,537,98.0327868852459,94.95831679237793,96.47106271425692,94.36211340206185,94.95831679237793,8.205128205128204
