Project,Test,TotalFailures,TotalFlaky,TotalNonFlaky,TP_FailureLog,FN__FailureLog,FP__FailureLog,TN_FailureLog,P_FailureLog,R_FailureLog,F_FailureLog,TP_TFIDF,FN_TFIDF,FP_TFIDF,TN_TFIDF,P_TFIDF,R_TFIDF,F1_TFIDF
Alluxio-alluxio,114.0,49653.0,16858.0,32795.0,16014.0,844.0,1706.0,31089.0,90.0,94.0,92.0,16616.0,242.0,555.0,32240.0,96.0,98.0,97.0
square-okhttp,99.0,60435.0,26486.0,33949.0,26056.0,430.0,897.0,33052.0,96.0,98.0,97.0,26459.0,27.0,105.0,33844.0,99.0,99.0,99.0
apache-ambari,51.0,15108.0,4063.0,11045.0,4055.0,8.0,481.0,10564.0,89.0,99.0,94.0,4059.0,4.0,6.0,11039.0,99.0,99.0,99.0
hector-client-hector,33.0,10132.0,6529.0,3603.0,6529.0,0.0,404.0,3199.0,94.0,100.0,96.0,6529.0,0.0,12.0,3591.0,99.0,100.0,99.0
activiti-activiti,30.0,46300.0,1363.0,44937.0,947.0,416.0,300.0,44637.0,75.0,69.0,72.0,1023.0,340.0,68.0,44869.0,93.0,75.0,83.0
tootallnate-java-websocket,23.0,3259.0,2143.0,1116.0,2130.0,13.0,436.0,680.0,83.0,99.0,90.0,2130.0,13.0,437.0,679.0,82.0,99.0,90.0
apache-httpcore,22.0,8375.0,354.0,8021.0,315.0,39.0,108.0,7913.0,74.0,88.0,81.0,313.0,41.0,16.0,8005.0,95.0,88.0,91.0
qos-ch-logback,20.0,3052.0,438.0,2614.0,172.0,266.0,104.0,2510.0,62.0,39.0,48.0,247.0,191.0,48.0,2566.0,83.0,56.0,67.0
apache-hbase,20.0,3104.0,2519.0,585.0,2392.0,127.0,48.0,537.0,98.0,94.0,96.0,2376.0,143.0,13.0,572.0,99.0,94.0,96.0
kevinsawicki.http-request,18.0,3888.0,3501.0,387.0,3498.0,3.0,124.0,263.0,96.0,99.0,98.0,3498.0,3.0,54.0,333.0,98.0,99.0,99.0
wildfly-wildfly,18.0,3895.0,48.0,3847.0,0.0,48.0,0.0,3847.0,0.0,0.0,0.0,50.0,0.0,0.0,4364.0,100.0,100.0,100.0
wro4j-wro4j,14.0,11373.0,10833.0,540.0,10833.0,0.0,65.0,475.0,99.0,100.0,99.0,10833.0,0.0,29.0,511.0,99.0,100.0,99.0
spring-projects-spring-boot,12.0,2164.0,14.0,2150.0,6.0,8.0,0.0,2150.0,100.0,42.0,60.0,9.0,5.0,3.0,2147.0,75.0,64.0,69.0
undertow-io-undertow,7.0,2398.0,92.0,2306.0,3.0,89.0,0.0,2306.0,100.0,3.0,6.0,4.0,88.0,0.0,2306.0,100.0,4.0,8.0
orbit-orbit,7.0,3755.0,2943.0,812.0,2943.0,0.0,69.0,743.0,97.0,100.0,98.0,2940.0,3.0,59.0,753.0,98.0,99.0,98.0
doanduyhai-Achilles,2.0,275.0,121.0,154.0,120.0,1.0,0.0,154.0,100.0,99.0,99.0,120.0,1.0,0.0,154.0,100.0,99.0,99.0
apache-commons-exec,1.0,92.0,33.0,59.0,0.0,33.0,0.0,59.0,0.0,0.0,0.0,33.0,0.0,2.0,57.0,94.0,100.0,97.0
joel-costigliola-assertj-core,1.0,992.0,974.0,18.0,974.0,0.0,2.0,16.0,99.0,100.0,99.0,974.0,0.0,0.0,18.0,100.0,100.0,100.0
jknack-handlebars.java,1.0,558.0,411.0,147.0,411.0,0.0,16.0,131.0,96.0,100.0,98.0,411.0,0.0,16.0,131.0,96.0,100.0,98.0
zxing-zxing,1.0,398.0,322.0,76.0,322.0,0.0,0.0,76.0,100.0,100.0,100.0,322.0,0.0,0.0,76.0,100.0,100.0,100.0
ninjaframework-ninja,1.0,596.0,476.0,120.0,476.0,0.0,8.0,112.0,98.0,100.0,99.0,476.0,0.0,8.0,112.0,98.0,100.0,99.0
,495.0,229802.0,80521.0,149281.0,78196.0,2325.0,4768.0,144513.0,1746.0,1623.0,1622.0,79422.0,1101.0,1431.0,148367.0,2003.0,1873.0,1887.0
