Project,Total,TP,FN,FP,TN,P,R,F1
qos-ch-logback,3052,247,191,48,2566,83.72881355932203,56.39269406392694,67.39427012278308
undertow-io-undertow,2398,4,88,0,2306,100.0,4.3478260869565215,8.333333333333332
spring-projects-spring-boot,2164,9,5,3,2147,75.0,64.28571428571429,69.23076923076924
apache-ambari,15108,4059,4,6,11039,99.85239852398524,99.90155057839036,99.87696850393701
activiti-activiti,46300,1023,340,68,44869,93.76718606782768,75.05502567865004,83.37408312958435
Alluxio-alluxio,49653,16616,242,555,32240,96.76780618484653,98.56447977221498,97.65788004349231
apache-hbase,3104,2376,143,13,572,99.45583926329007,94.32314410480349,96.82151589242054
wildfly-wildfly,4414,50,0,0,4364,100.0,100.0,100.0
apache-httpcore,8375,313,41,16,8005,95.13677811550151,88.4180790960452,91.65446559297217
hector-client-hector,10132,6529,0,12,3591,99.81654181317842,100.0,99.90818668706963
kevinsawicki.http-request,3888,3498,3,54,333,98.47972972972973,99.91431019708654,99.19183326244152
jknack-handlebars.java,558,411,0,16,131,96.25292740046838,100.0,98.090692124105
ninjaframework-ninja,596,476,0,8,112,98.34710743801654,100.0,99.16666666666667
joel-costigliola-assertj-core,992,974,0,0,18,100.0,100.0,100.0
tootallnate-java-websocket,3259,2130,13,437,679,82.97623685235683,99.39337377508166,90.44585987261146
doanduyhai-Achilles,275,120,1,0,154,100.0,99.17355371900827,99.5850622406639
wro4j-wro4j,11373,10833,0,29,511,99.7330141778678,100.0,99.86632864715372
orbit-orbit,3755,2940,3,59,753,98.0326775591864,99.89806320081549,98.95658027600135
apache-commons-exec,92,33,0,2,57,94.28571428571428,100.0,97.05882352941177
zxing-zxing,398,322,0,0,76,100.0,100.0,100.0
square-okhttp,60435,26459,27,105,33844,99.60472820358379,99.89805935211055,99.751178133836
