Exception,#Projects,#Tests,TotalFailures,True,Flaky,TP,FN,FP,TN,tTP,tFN,tFP,tTN,TP_noTraces,FN_noTraces,FP_noTraces,TN_noTraces,tTP_noTraces,tFN_noTraces,tFP_noTraces,tTN_noTraces
NullPointerException,21,475,50427,42264,8163,1168,6995,711,41553,40,106,105,475,0,8163,8444,33820,0,120,120,355
AssertionError,21,401,48751,19727,29024,5977,23047,4376,15351,63,120,94,367,253,28771,13191,6536,4,174,171,223
IOException,7,219,16959,15800,1159,642,517,515,15285,10,16,13,206,642,517,3718,12082,10,16,13,193
UnknownHostException,9,225,9369,315,9054,9052,2,0,315,125,2,0,98,9052,2,0,315,125,2,0,98
ActivitiException,1,30,9277,9205,72,0,72,342,8863,0,9,7,29,0,72,2809,6396,0,9,8,21
IllegalArgumentException,17,393,8666,8663,3,0,3,189,8474,0,3,3,393,0,3,203,8460,0,3,3,390
AssertionFailedError,7,91,8644,6881,1763,66,1697,1598,5283,1,20,20,88,66,1697,4074,2807,1,20,20,70
NoSuchMethodError,1,1,8539,0,8539,8539,0,0,0,1,0,0,0,8539,0,0,0,1,0,0,0
PersistenceException,2,30,8399,8398,1,0,1,156,8242,0,1,1,30,0,1,389,8009,0,1,1,29
WroRuntimeException,1,7,6520,33,6487,0,6487,11,22,0,5,5,3,0,6487,13,20,0,5,5,2
